BaseImage,Slice,Stage,Avg_Sum_signal,nPixels,ECADsat,NCADsat,propECADsat,propNCADsat,nSlices,inFirstHalf,Avg_Sum_signal_After,Avg_Sum_signal_fc,belowThreshold,enoughNotSat,firstTrueValue,firstSlice,possibleSlices,maxNPixels,selectedSlice
Median_1.0_3.8.22.120h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 2_Merging_001-1.tif,12,120h,118.278855470119,48509,0,559,0,0.0115236347894205,18,TRUE,105.977842764745,1.1160715521704,FALSE,TRUE,150.849902152642,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,48509,12
Median_1.0_3.8.22.120h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 2_Merging_001.tif,12,120h,115.52218778349,52912,0,565,0,0.0106781070456607,18,TRUE,104.034090233019,1.11042627973906,FALSE,TRUE,144.524585254836,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,52912,12
Median_1.0_3.8.22.120h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 6_Merging_001.tif,12,120h,113.176283665283,57589,14,834,0.000243101981281147,0.0144819323134626,22,TRUE,104.084428978852,1.08735076683063,FALSE,TRUE,138.44407345576,9,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,57589,12
Median_1.0_3.8.22.96h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 10.tif,12,96h,158.034996492097,24231,66,0,0.0027237835830135,0,19,TRUE,145.07281310051,1.08934950053396,FALSE,TRUE,219.92895602752,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,24231,12
Median_1.0_3.8.22.96h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 8.tif,12,96h,133.509703448479,33957,26,0,0.00076567423506199,0,19,TRUE,121.257257408133,1.10104505332086,FALSE,TRUE,182.342532785281,7,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,33957,12
Median_1.0_3.8.22.96h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 9.tif,12,96h,153.620523174157,22784,66,0,0.00289676966292135,0,20,TRUE,137.289856389747,1.11895027945873,FALSE,TRUE,235.697732710493,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,22784,12
Median_1.0_3.8.22.102h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 16.tif,13,102h,169.162739074867,44599,680,11,0.0152469786318079,0.000246642301396892,19,TRUE,149.181290188758,1.13394071643185,FALSE,TRUE,201.595772787318,10,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,44599,13
Median_1.0_3.8.22.114h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 4.tif,13,114h,123.74405729498,42447,0,174,0,0.00409922962753552,17,TRUE,113.78918224068,1.08748524998838,FALSE,TRUE,95.744769874477,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,42447,13
Median_1.0_3.8.22.114h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 4_Merging_001.tif,13,114h,85.2327223603819,32571,0,77,0,0.00236406619385343,19,TRUE,79.8462428117069,1.06746065135936,FALSE,TRUE,77.2420216408711,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,32571,13
Median_1.0_3.8.22.120h.5H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 19.tif,13,120h,162.715128547436,46442,242,267,0.00521080056845097,0.00574910641229921,19,TRUE,148.628283656127,1.09477903225943,FALSE,TRUE,176.570079271378,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,46442,13
Median_1.0_3.8.22.120h.5H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 6_Merging_001.tif,13,120h,125.05184962193,56471,27,28,0.000478121513697296,0.000495829717908307,20,TRUE,110.4662046325,1.13203716953934,FALSE,TRUE,152.889106934974,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,56471,13
Median_1.0_3.8.22.120h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Region 7_Merging_001.tif,13,120h,111.780289798027,40649,0,469,0,0.0115377992078526,17,TRUE,105.898000353027,1.05554674710939,FALSE,TRUE,121.616471295461,9,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,40649,13
Median_1.0_3.8.22.90h.5H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 11.tif,13,90h,124.39792496995,15807,148,0,0.00936294046941229,0,19,FALSE,108.971761155421,1.14156111318167,FALSE,TRUE,207.807114739758,4,13,14,15,16,17,18,19,20,21,22,15807,13
Median_1.0_3.8.22.90h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 1.tif,13,90h,172.239213683942,35253,223,0,0.00632570277706862,0,17,TRUE,152.338428641604,1.13063535720955,FALSE,TRUE,208.525802463483,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,35253,13
Median_1.0_3.8.22.90h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 5.tif,13,90h,173.255596742652,34261,453,0,0.0132220308805931,0,17,TRUE,153.58434412165,1.12808110575008,FALSE,TRUE,223.902136716468,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,34261,13
Median_1.0_3.8.22.96h.5H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 8.tif,13,96h,156.104601391118,22428,234,0,0.0104333868378812,0,18,TRUE,144.721214758934,1.07865734578822,FALSE,TRUE,252.919062027231,5,13,14,15,16,17,18,19,20,21,22,22428,13
Median_1.0_3.8.22.96h.8H.IF.DAPI.CDH1.CDH2.TBX6.lif - Position 7.tif,13,96h,138.682901956976,20593,11,0,0.000534162093915408,0,19,TRUE,125.137692690204,1.10824244059146,FALSE,TRUE,213.762180725478,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,20593,13
