gene_id	gene_short_name	66h_WT_rep1	66h_WT_rep2	66h_WT_rep3	78h_WT_rep1	78h_WT_rep2	78h_WT_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000032420	Nt5e	966.618545514441	942.567080486837	1043.58100562998	2727.82666878046	3035.75363827297	3151.98331072985	1978.05504156909	1.59311135039808	0.0865664053457548	18.4033441614565	1.2350221861619e-75	1.65505323167557e-71
ENSMUSG00000018924	Alox15	1479.56470763885	1153.00066124669	1264.35557691449	3730.53414130887	3948.03254491511	4057.89092284655	2605.56309247843	1.59118790211306	0.0982860153877448	16.189362198027	5.99467092172397e-59	4.01672925110115e-55
ENSMUSG00000062393	Dgkk	307.767697274645	270.714033581685	302.345898827377	952.620259683573	1145.20118067842	1231.84262599996	701.74861600761	1.91794293003229	0.131906727260848	14.5401449180035	6.74497112387839e-48	3.01297860103648e-44
ENSMUSG00000092035	Peg10	3434.45952551299	2880.30963665047	3098.82380176446	8451.25395193495	7688.37606214786	6754.52384653361	5384.62447075739	1.28229792107452	0.100026338010242	12.8196027824515	1.27351259757687e-37	4.26658558003191e-34
ENSMUSG00000046879	Irgm1	68.3928216165878	61.3764610549568	66.498364844731	295.707198910876	320.268126799898	369.0734716031	196.886074138358	2.32703920934246	0.192311980070534	12.1003340950937	1.05182226930509e-33	2.81909404619149e-30
ENSMUSG00000019966	Kitl	29.6368893671881	40.5523046255965	34.5791497192601	248.509632960932	216.423612958719	220.485450568085	131.697840033297	2.70877696789592	0.235106751036616	11.5214767587599	1.02833279351711e-30	2.29678129432047e-27
ENSMUSG00000022055	Nefl	1110.24347090928	923.934940523725	869.798612169081	327.493314754717	377.528185833819	332.645440639677	656.940660805049	-1.4835848143423	0.131562483523275	-11.2766555830473	1.71128758156193e-29	3.27613784007306e-26
ENSMUSG00000002227	Mov10	208.598105930593	245.505844219827	228.754375065875	598.156907243174	756.997390617941	727.601986874682	460.935768325349	1.60821992212588	0.143017195219573	11.2449409992749	2.45260616052644e-29	4.10842189465186e-26
ENSMUSG00000059447	Hadhb	673.66929292339	587.460412954587	638.384302509418	1252.18032112098	1437.32453269894	1459.03850332446	1008.00956092196	1.12706331915881	0.102889510635711	10.9541129333317	6.34974223151024e-28	9.45476618271874e-25
ENSMUSG00000020086	Macroh2a2	604.136590946526	480.051606108412	551.493105778969	1213.65169585571	1343.18511360927	1216.50450769957	901.503769999743	1.20612216768702	0.110771858907682	10.8883445631458	1.30999803154034e-27	1.75552836206721e-24
ENSMUSG00000029646	Cdx2	417.196211861186	359.490700464747	395.44360961	1331.16400291476	1057.85532791482	973.011879680899	755.693622074401	1.52021936243884	0.141613471575888	10.734991138355	6.97256593122809e-27	8.49448691312615e-24
ENSMUSG00000041420	Meis3	261.03260250331	291.538190011045	271.313328566502	638.611963771697	742.439748490673	634.614644678576	473.258413003634	1.29074524215745	0.125600237916709	10.2766146272223	8.982753043854e-25	1.0031489461724e-21
ENSMUSG00000059136	Olfr539	58.1338983740997	48.2243622574661	60.2918507925561	283.185395699667	738.557710590068	748.691899537716	322.847519541929	3.40761146622239	0.332642389001715	10.2440686421502	1.25830890265263e-24	1.29712289264984e-21
ENSMUSG00000000385	Tmprss2	39.8958126096762	18.6321399631119	29.2592805316816	194.569557589567	320.268126799898	344.149029364968	157.795657809817	3.29326192270651	0.323578317016281	10.1776347472034	2.49553302365759e-24	2.38875986071681e-21
ENSMUSG00000044221	Grsf1	5831.62792317439	4249.22391982264	4814.48161475852	10235.1293017165	11053.1324124971	10447.1758273522	7771.79516655355	1.09139310073554	0.107767837529039	10.1272617671432	4.18196474922918e-24	3.73616730696135e-21
ENSMUSG00000021583	Erap1	82.0713859399054	85.4886421836899	93.0977107826234	352.536921177136	832.697129679735	783.20266571359	371.515742579447	2.91533579358995	0.290468425587895	10.0366702084381	1.05164327970134e-23	8.80816974454853e-21
ENSMUSG00000009739	Pou6f1	202.898704129211	213.721605459225	212.794767503139	498.945697185127	655.093895727064	615.441996803091	399.816111134476	1.49062927464311	0.148660075299307	10.0270988807313	1.15871129187607e-23	9.13405295437129e-21
ENSMUSG00000035934	Pknox2	156.163609357876	150.153127938019	202.155029127982	486.423893973917	686.150198931903	633.656012284802	385.783645269083	1.82405603784753	0.185294553623158	9.84408878826086	7.26949561116195e-23	5.12729003606217e-20
ENSMUSG00000028640	Tfap2c	34.1964108082939	27.4002058281057	38.1257291776458	371.801233809766	241.65685931265	192.685111148631	150.977591680849	3.00973232158641	0.310547981725027	9.69168211903357	3.27096380182584e-22	2.1917092954134e-19
ENSMUSG00000010025	Aldh3a2	434.294417265333	440.59530971594	427.362824735471	837.03438388779	1025.82851523483	910.70077408557	679.302704154155	1.09105265227673	0.113076504124537	9.6488007011173	4.97339441453163e-22	3.17373612138754e-19
ENSMUSG00000015217	Hmgb3	869.728714890942	965.583253382446	993.928893212579	1672.14233651232	2253.5230013011	2139.6675029042	1482.42895036726	1.09950185196396	0.124230303358097	8.85051249367574	8.71183099404335e-19	4.86446863129895e-16
ENSMUSG00000030862	Cpxm2	75.2321037782466	87.6806586499383	105.510738886973	277.406101909878	457.109962796218	418.922356079362	236.976987016769	2.09802233486322	0.238438241732037	8.79901780697173	1.38018785619442e-18	7.39835898434458e-16
ENSMUSG00000040258	Nxph4	15.9583250438705	26.3041975949815	27.4859908024888	132.92375716515	248.450425638709	185.016051998437	106.023124707273	3.01119376498214	0.343537337433385	8.76525907628902	1.86347629151316e-18	9.60478683944915e-16
