gene_id	gene_short_name	72h_WT_rep1	72h_WT_rep2	72h_WT_rep3	84h_WT_rep1	84h_WT_rep2	84h_WT_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000019880	Rspo3	45.7012657871388	305.995173465028	187.323094565334	699.564523451126	3127.89164049115	2513.58091885829	1146.67610276968	3.64029588295262	0.155929795300855	23.3457363035008	1.52268803885127e-120	2.13952896338991e-116
ENSMUSG00000002265	Peg3	7336.00526853968	13692.749055963	12134.4920519282	20223.687996562	41018.3008080574	37871.1552854551	22046.0650777509	1.56289373709568	0.0732385307071758	21.339774596851	4.8528027353854e-101	3.40933656174501e-97
ENSMUSG00000023781	Hes7	10.473206742886	27.8177430422752	13.8363649394849	544.633793393336	1193.5375996611	924.355429451589	452.442356205111	5.69528182092115	0.274366493212318	20.7579349586025	1.03938019915911e-95	4.86811039279491e-92
ENSMUSG00000037736	Limch1	33.3238396364554	105.921406199433	57.4741312870911	371.643653083411	1973.55067792894	1499.14000263812	673.508951795575	4.17472354456074	0.233013768189639	17.9162097458685	8.81321395454315e-72	3.09586173188214e-68
ENSMUSG00000021994	Wnt5a	75.2166666079993	253.569426962278	120.269941397061	602.614005255454	2404.7136860167	2133.65517031251	931.673149425333	3.47059024712549	0.21169638545432	16.3941875515602	2.10435280178911e-60	5.91365224358775e-57
ENSMUSG00000019987	Arg1	5.71265822339235	3.20973958180099	4.25734305830304	838.336833809637	750.615600443679	481.761516197226	347.315615219007	7.28378319683364	0.458307526128093	15.892785480459	7.10968423727024e-57	1.6649695536314e-53
ENSMUSG00000039081	Zfp503	61.8871307534171	50.2859201148822	31.9300729372728	724.277400638258	520.33535748772	340.758145602916	288.245671255744	3.45077905220134	0.218800250225049	15.7713670283832	4.89780968601993e-56	9.83130341403801e-53
ENSMUSG00000058806	Col13a1	21.8985231896707	129.459496465973	69.1818246974244	241.425800212753	1114.16440953585	995.836304822315	428.661059820665	3.45816988503666	0.220580125872657	15.6776131637221	2.15189692966035e-55	3.77953796983221e-52
ENSMUSG00000002944	Cd36	1.90421940779745	14.9787847150713	6.38601458745456	138.772310358511	727.097618184347	744.184455914414	272.220567194599	6.13947915430707	0.414863663052932	14.7987874115737	1.49147176449581e-49	2.32851886254784e-46
ENSMUSG00000047250	Ptgs1	29.5154008208605	187.234808938391	102.176233399273	229.069361619187	1431.65717003683	1514.80704381526	582.410003104968	3.28184724884698	0.227350955861052	14.4351592295601	3.10926814332147e-47	4.368832668181e-44
ENSMUSG00000036943	Rab8b	441.778902609009	1181.18416610276	861.04763354179	1599.68355022859	3251.36104735265	2802.44199056191	1689.58288173279	1.6684108529175	0.116645639943008	14.3032423134946	2.08848031675567e-46	2.66774881188491e-43
ENSMUSG00000024619	Cdx1	2115.58776206297	1268.91704800532	1074.97912222152	5072.79329029709	2894.67164975278	2515.53929900544	2490.41469522419	1.22664805193546	0.086167924453051	14.2355529591966	5.51251622390039e-46	5.95818195861726e-43
ENSMUSG00000042515	Pwwp3b	238.027425974681	634.458524002662	535.360889581608	775.604145565379	2853.51518079895	2706.4813633519	1290.57458821253	2.08217583280472	0.146237659845046	14.238301098438	5.29999011996289e-46	5.95818195861726e-43
ENSMUSG00000026110	Mgat4a	349.424261330832	368.05013871318	317.172057843577	1120.6339309088	1303.28818353798	1271.96790556951	788.422746317313	1.83529371043706	0.134135284380427	13.6824081666081	1.2933721532558e-42	1.29808372324266e-39
ENSMUSG00000029337	Fgf5	637.913501612146	2098.09977330391	2113.77082844746	170.138654480641	422.343764740504	612.97298605582	1009.20658477341	-2.00387074462815	0.146570165390883	-13.6717505863768	1.49748728936502e-42	1.40274626019119e-39
ENSMUSG00000024304	Cdh2	566.505273819742	1868.06843660818	1289.97494666582	1613.94097937502	6239.12471021528	5808.55551642672	2897.69497718513	1.81133590242141	0.133648080751592	13.5530259187791	7.60301592487536e-42	6.67687354752648e-39
ENSMUSG00000087166	L1td1	8218.6109640538	7327.83546525166	7759.0077237573	3374.25823131997	2254.78654911345	3104.03253322197	5339.75524445302	-1.43446543390399	0.106305137727987	-13.4938486000036	1.69990094797532e-41	1.4050181305883e-38
ENSMUSG00000041688	Amot	753.118775783892	3967.23812310602	3145.11218432137	2304.95104533829	9056.38300169776	9275.86756694375	4750.44511619851	1.45104384611718	0.108120851801794	13.4205735705562	4.58153472419926e-41	3.57639691165132e-38
ENSMUSG00000004885	Crabp2	356.089029258123	304.925260271094	318.236393608152	2150.97081055693	1277.8103694237	1188.73674931592	932.794768738987	2.19128968438936	0.163378906586746	13.4123169885819	5.12134329605543e-41	3.78736813962499e-38
ENSMUSG00000037171	Nodal	1215.84409187867	2165.50430452173	1987.11487246295	374.495138912695	647.724428059102	749.080406282272	1189.9605403529	-1.61380709568143	0.12259942174455	-13.1632520995407	1.42804308243637e-39	1.00327166756567e-36
ENSMUSG00000029287	Tgfbr3	1323.43248841923	1755.72755124514	1974.34284328804	410.613959416965	335.131247195481	411.259830900071	1035.08465341082	-2.11327664057936	0.161451932785417	-13.0892000121676	3.79584618599869e-39	2.51271299094084e-36
ENSMUSG00000031074	Fgf3	11.4253164467847	28.8876562362089	17.0293722332122	137.821815082083	630.085941364603	475.886375755797	216.856079519781	4.33866818121208	0.331538212078226	13.0864799988376	3.93421719455543e-39	2.51271299094084e-36
ENSMUSG00000039316	Rftn1	222.793670712302	568.123905978775	405.511926303365	670.099169881853	1954.93227530697	1707.70748830887	921.528072748689	1.82124738064558	0.141384517731234	12.8815192064219	5.71984485923728e-38	3.49432783118013e-35
