sample_id,replicate,proportion.WT,Proportion.Cdh2KO,length
184,22,0.9,0.1,1112.937968
185,23,0.9,0.1,793.9523251
186,24,0.9,0.1,1199.744108
187,25,0.9,0.1,1048.986546
188,26,0.9,0.1,832.1560271
189,27,0.9,0.1,882.4299774
190,28,0.9,0.1,917.660316
191,29,0.9,0.1,1064.512325
192,30,0.9,0.1,1078.205869
193,31,0.9,0.1,1231.117111
194,32,0.9,0.1,1138.476749
195,33,0.9,0.1,997.5393228
196,34,0.9,0.1,1041.416524
197,35,0.9,0.1,1007.391603
198,36,0.9,0.1,1229.236659
199,37,0.9,0.1,1105.367946
200,38,0.9,0.1,1223.434582
201,39,0.9,0.1,1151.254176
202,40,0.9,0.1,1034.650113
203,41,0.9,0.1,1086.354492
204,42,0.9,0.1,1369.466907
205,1,1,0,933.9736343
206,2,1,0,870.0704289
207,3,1,0,752.1323702
208,4,1,0,957.9051919
209,5,1,0,859.2698871
210,6,1,0,933.0253725
211,7,1,0,782.380316
212,8,1,0,1006.186185
213,9,1,0,946.2367494
214,10,1,0,874.184921
215,11,1,0,862.9343567
216,12,1,0,972.6434312
217,13,1,0,838.8420767
218,14,1,0,919.1871783
219,15,1,0,800.1240632
220,16,1,0,739.5478104
221,17,1,0,891.2697065
222,18,1,0,939.6310609
223,19,1,0,982.3992777
224,20,1,0,821.194763
225,21,1,0,824.1520542
226,22,1,0,1057.167314
227,23,1,0,1019.268984
228,24,1,0,790.2074944
229,25,1,0,761.9846501
230,26,1,0,860.6199549
231,27,1,0,950.7369752
232,28,1,0,865.5541309
233,29,1,0,813.1104289
234,30,1,0,790.2235666
235,31,1,0,812.8854176
236,32,1,0,867.884605
237,33,1,0,904.9311061
238,34,1,0,924.23386
239,35,1,0,822.6734086
240,36,1,0,673.5552144
