 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_1_9,26.452,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_1_9,1.196,0.542,1,1,0.261,0.999,0,0,0.391,0.802,0,0
2,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_2_9,33.353,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_2_9,1.103,0.552,1,1,0.207,0.894,0,0,0.897,1.003,0,0
3,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_3_9,35.078,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_3_9,1.246,0.505,1,1,0.066,0.512,0,0,0.623,0.934,0,0
4,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_4_9,36.228,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_4_9,1.095,0.499,1,1,0.254,0.983,0,0,0.349,0.765,0,0
5,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_5_9,36.228,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_5_9,1.238,0.530,1,1,0.698,1.531,0,0,0.984,1.008,0,0
6,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_6_9,61.530,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_6_9,1.318,0.747,1,1,0.075,0.544,0,0,1.243,0.989,2,2
7,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_7_9,34.503,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_7_9,1.250,0.474,1,1,0.000,0.000,0,0,0.500,0.873,0,0
8,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_8_9,72.456,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_8_9,1.333,0.537,1,1,0.127,0.704,0,0,0.770,0.989,0,0
9,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_9_9,47.154,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_9_9,1.293,0.484,1,1,0.049,0.442,0,0,0.463,0.849,0,0
10,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_10_9,30.477,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_10_9,1.170,0.580,1,1,0.226,0.933,0,0,0.415,0.819,0,0
11,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_11_10,25.302,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_11_10,1.182,0.582,1,1,1.091,1.802,0,0,0.545,0.901,0,0
12,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_12_10,60.955,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_12_10,1.830,0.961,2,2,0.981,1.729,0,0,1.208,0.983,2,2
13,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_13_10,57.505,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_13_10,1.410,0.698,1,1,0.970,1.850,0,0,1.640,0.916,2,2
14,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_14_10,52.904,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_14_10,1.750,0.721,2,2,0.826,1.628,0,0,0.935,1.046,0,0
15,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif:ROI_15_10,51.179,2024-08-15_12-21,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 8.tif,ROI_15_10,2.202,1.189,2,2,0.494,1.324,0,0,0.921,1.047,0,0
