 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_1_10,43.703,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_1_10,1.197,0.566,1,1,1.842,2.007,0,0,0.500,0.872,0,0
2,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_2_10,31.052,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_2_10,1.167,0.423,1,1,0.963,1.726,0,0,0.704,0.964,0,0
3,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_3_10,30.477,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_3_10,1.642,0.682,2,2,1.208,1.854,0,0,0.453,0.845,0,0
4,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_4_10,53.479,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_4_10,1.441,0.598,1,1,1.118,1.805,0,0,0.774,0.979,0,0
5,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_5_10,32.778,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_5_10,1.368,0.487,1,1,1.614,1.980,0,0,0.491,0.869,0,0
6,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_6_10,41.403,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_6_10,1.417,0.622,1,1,0.833,1.636,0,0,0.750,0.975,0,0
7,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_7_10,44.854,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_7_10,1.436,0.636,1,1,1.333,1.898,0,0,0.308,0.726,0,0
8,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_8_10,31.052,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_8_10,1.333,0.476,1,1,0.815,1.626,0,0,1.407,0.922,2,2
9,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_9_10,32.203,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_9_10,1.446,0.570,1,1,1.429,1.934,0,0,1.143,0.999,2,2
10,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_10_10,60.955,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_10_10,1.311,0.575,1,1,1.283,1.876,0,0,0.698,0.987,0,0
11,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_11_10,52.329,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_11_10,1.341,0.499,1,1,1.670,1.984,0,0,0.505,0.874,0,0
12,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_12_10,28.752,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_12_10,1.520,0.762,1,1,1.280,1.885,0,0,0.400,0.808,0,0
13,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_13_10,32.778,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_13_10,1.509,0.782,1,1,1.053,1.777,0,0,0.596,0.923,0,0
14,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif:ROI_14_10,54.054,2024-08-15_12-28,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-4.tif,ROI_14_10,1.255,0.462,1,1,0.723,1.548,0,0,0.383,0.791,0,0
