 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_1_8,47.729,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_1_8,1.434,0.768,1,1,0.627,1.463,0,0,0.602,0.923,0,0
2,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_2_8,50.029,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_2_8,1.356,0.777,1,1,0.322,1.094,0,0,1.437,0.924,2,2
3,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_3_8,35.078,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_3_8,0.984,0.500,1,1,0.459,1.285,0,0,0.721,0.968,0,0
4,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_4_8,31.052,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_4_8,1.148,0.563,1,1,0.741,1.568,0,0,1.000,1.009,2,0
5,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_5_8,25.302,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_5_8,1.341,0.680,1,2,0.364,1.163,0,0,1.068,1.043,2,2
6,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_6_8,34.503,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_6_8,1.067,0.634,1,1,0.200,0.879,0,0,0.967,1.008,0,0
7,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_7_8,36.228,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_7_8,1.302,0.557,1,1,0.571,1.411,0,0,0.841,1.019,0,0
8,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_8_8,40.828,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_8_8,1.268,0.533,1,1,0.282,1.031,0,0,0.704,0.962,0,0
9,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_9_8,53.479,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_9_8,1.344,0.542,1,1,0.516,1.348,0,0,1.054,1.004,2,2
10,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_10_9,48.304,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_10_9,1.310,0.490,1,1,1.833,2.259,0,0,1.286,0.964,2,2
11,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_11_9,61.530,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_11_9,1.402,0.547,1,1,1.533,1.954,0,0,1.047,1.031,2,2
12,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_12_9,54.629,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_12_9,1.442,0.614,1,1,3.558,1.596,4,4,1.758,0.986,2,2
13,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_13_9,52.904,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_13_9,2.000,1.048,2,2,2.967,2.360,4,4,1.957,0.982,2,2
14,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_14_9,56.929,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_14_9,1.879,1.214,2,1,2.636,2.023,4,4,1.798,1.050,2,2
15,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_15_9,35.653,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_15_9,1.871,0.949,2,2,3.548,2.744,4,4,1.677,0.988,2,2
16,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_16_9,62.680,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_16_9,1.725,0.912,2,1,2.761,2.353,4,4,1.881,0.969,2,2
17,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_17_9,74.756,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_17_9,1.769,1.038,2,1,2.546,2.484,4,4,2.031,0.646,2,2
18,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_18_9,64.980,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_18_9,1.876,1.111,2,1,3.186,2.055,4,4,1.619,1.096,2,2
19,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_19_9,27.602,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_19_9,2.229,1.171,2,2,5.396,2.583,4,4,3.042,1.166,3,2
20,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_20_9,29.327,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_20_9,3.020,1.334,4,4,4.137,2.392,4,4,2.745,1.093,2,2
21,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_21_9,29.327,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_21_9,1.922,0.744,2,2,5.745,3.267,4,4,2.373,0.662,2,2
22,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_22_9,39.678,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_22_9,2.319,1.169,2,2,2.493,1.953,4,4,3.290,1.001,3,4
23,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_23_9,29.902,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_23_9,1.635,0.864,2,1,4.731,2.302,4,4,1.865,1.067,2,2
24,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_24_9,31.627,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_24_9,1.509,0.540,2,2,4.473,3.834,4,4,2.873,0.924,3,2
25,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_25_9,41.978,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_25_9,1.849,0.892,2,2,5.767,2.791,4,4,2.233,0.698,2,2
26,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_26_9,27.602,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_26_9,1.917,0.767,2,2,4.354,1.792,4,4,2.708,0.898,2,2
27,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif:ROI_27_9,44.278,2024-08-15_12-22,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 9.tif,ROI_27_9,2.117,0.811,2,2,4.818,2.694,4,4,2.494,1.096,2,2
