Distance,Fluorescence,Marker,Condition,Time,Replicate
104.551,59.3437,Hoxd4,0,117h,1
105.309,58.5354,Hoxd4,0,117h,1
106.066,58.7045,Hoxd4,0,117h,1
106.824,58.2886,Hoxd4,0,117h,1
107.582,58.0714,Hoxd4,0,117h,1
108.339,58.2197,Hoxd4,0,117h,1
109.097,59.0454,Hoxd4,0,117h,1
109.854,59.5899,Hoxd4,0,117h,1
110.612,59.766,Hoxd4,0,117h,1
111.37,59.5235,Hoxd4,0,117h,1
112.127,60.1455,Hoxd4,0,117h,1
112.885,61.0703,Hoxd4,0,117h,1
113.643,61.8218,Hoxd4,0,117h,1
114.4,62.2447,Hoxd4,0,117h,1
115.158,62.9498,Hoxd4,0,117h,1
115.915,63.7964,Hoxd4,0,117h,1
116.673,63.0826,Hoxd4,0,117h,1
117.431,61.5706,Hoxd4,0,117h,1
118.188,60.1623,Hoxd4,0,117h,1
118.946,60.1252,Hoxd4,0,117h,1
119.703,60.0817,Hoxd4,0,117h,1
120.461,60.3336,Hoxd4,0,117h,1
121.219,61.0888,Hoxd4,0,117h,1
121.976,59.7198,Hoxd4,0,117h,1
122.734,59.3354,Hoxd4,0,117h,1
123.492,59.313,Hoxd4,0,117h,1
124.249,59.4607,Hoxd4,0,117h,1
125.007,60.7055,Hoxd4,0,117h,1
125.764,60.8988,Hoxd4,0,117h,1
126.522,60.9248,Hoxd4,0,117h,1
127.28,59.8811,Hoxd4,0,117h,1
128.037,58.638,Hoxd4,0,117h,1
128.795,57.5754,Hoxd4,0,117h,1
129.553,56.0633,Hoxd4,0,117h,1
130.31,54.4074,Hoxd4,0,117h,1
131.068,53.478,Hoxd4,0,117h,1
131.825,53.1121,Hoxd4,0,117h,1
132.583,53.3581,Hoxd4,0,117h,1
133.341,53.4685,Hoxd4,0,117h,1
134.098,53.5591,Hoxd4,0,117h,1
134.856,53.4762,Hoxd4,0,117h,1
135.613,54.2921,Hoxd4,0,117h,1
136.371,56.4283,Hoxd4,0,117h,1
137.129,58.3227,Hoxd4,0,117h,1
137.886,58.5801,Hoxd4,0,117h,1
138.644,57.2106,Hoxd4,0,117h,1
139.402,56.3688,Hoxd4,0,117h,1
140.159,55.3366,Hoxd4,0,117h,1
140.917,54.7846,Hoxd4,0,117h,1
141.674,54.6311,Hoxd4,0,117h,1
142.432,54.7924,Hoxd4,0,117h,1
143.19,54.7333,Hoxd4,0,117h,1
143.947,55.0223,Hoxd4,0,117h,1
144.705,55.1193,Hoxd4,0,117h,1
145.462,54.3783,Hoxd4,0,117h,1
146.22,54.7993,Hoxd4,0,117h,1
146.978,56.6834,Hoxd4,0,117h,1
147.735,58.3565,Hoxd4,0,117h,1
148.493,59.3012,Hoxd4,0,117h,1
149.251,57.7278,Hoxd4,0,117h,1
150.008,56.4746,Hoxd4,0,117h,1
150.766,57.0094,Hoxd4,0,117h,1
151.523,58.0683,Hoxd4,0,117h,1
152.281,58.2087,Hoxd4,0,117h,1
153.039,57.9092,Hoxd4,0,117h,1
153.796,57.8662,Hoxd4,0,117h,1
154.554,57.5057,Hoxd4,0,117h,1
155.311,56.8282,Hoxd4,0,117h,1
156.069,55.8981,Hoxd4,0,117h,1
156.827,55.6607,Hoxd4,0,117h,1
157.584,55.5404,Hoxd4,0,117h,1
158.342,55.9317,Hoxd4,0,117h,1
159.1,56.336,Hoxd4,0,117h,1
159.857,55.7889,Hoxd4,0,117h,1
160.615,54.3201,Hoxd4,0,117h,1
161.372,54.1477,Hoxd4,0,117h,1
162.13,54.7899,Hoxd4,0,117h,1
162.888,55.2545,Hoxd4,0,117h,1
163.645,54.9602,Hoxd4,0,117h,1
164.403,53.5378,Hoxd4,0,117h,1
165.161,51.842,Hoxd4,0,117h,1
165.918,50.8425,Hoxd4,0,117h,1
166.676,51.8074,Hoxd4,0,117h,1
167.433,52.3812,Hoxd4,0,117h,1
168.191,52.3754,Hoxd4,0,117h,1
168.949,51.4963,Hoxd4,0,117h,1
169.706,50.5668,Hoxd4,0,117h,1
170.464,50.3353,Hoxd4,0,117h,1
171.221,50.2818,Hoxd4,0,117h,1
171.979,49.8119,Hoxd4,0,117h,1
172.737,49.0693,Hoxd4,0,117h,1
173.494,48.7515,Hoxd4,0,117h,1
174.252,49.1376,Hoxd4,0,117h,1
175.01,49.3859,Hoxd4,0,117h,1
175.767,49.1661,Hoxd4,0,117h,1
176.525,48.688,Hoxd4,0,117h,1
177.282,49.0049,Hoxd4,0,117h,1
178.04,50.2889,Hoxd4,0,117h,1
178.798,51.3293,Hoxd4,0,117h,1
179.555,51.9909,Hoxd4,0,117h,1
180.313,52.6228,Hoxd4,0,117h,1
181.07,52.9758,Hoxd4,0,117h,1
181.828,53.324,Hoxd4,0,117h,1
182.586,53.3807,Hoxd4,0,117h,1
183.343,52.6505,Hoxd4,0,117h,1
184.101,51.1951,Hoxd4,0,117h,1
184.859,49.0422,Hoxd4,0,117h,1
185.616,48.617,Hoxd4,0,117h,1
186.374,47.8826,Hoxd4,0,117h,1
187.131,47.2473,Hoxd4,0,117h,1
187.889,47.0265,Hoxd4,0,117h,1
188.647,46.632,Hoxd4,0,117h,1
189.404,46.6532,Hoxd4,0,117h,1
190.162,46.1384,Hoxd4,0,117h,1
190.919,45.8365,Hoxd4,0,117h,1
191.677,46.2712,Hoxd4,0,117h,1
192.435,46.6558,Hoxd4,0,117h,1
193.192,46.9158,Hoxd4,0,117h,1
193.95,46.8369,Hoxd4,0,117h,1
194.708,46.6162,Hoxd4,0,117h,1
195.465,47.3527,Hoxd4,0,117h,1
196.223,48.4128,Hoxd4,0,117h,1
196.98,47.6399,Hoxd4,0,117h,1
197.738,47.3027,Hoxd4,0,117h,1
198.496,47.0666,Hoxd4,0,117h,1
199.253,46.6756,Hoxd4,0,117h,1
200.011,45.6665,Hoxd4,0,117h,1
200.769,45.4933,Hoxd4,0,117h,1
201.526,46.1915,Hoxd4,0,117h,1
202.284,46.9771,Hoxd4,0,117h,1
203.041,46.5366,Hoxd4,0,117h,1
203.799,46.143,Hoxd4,0,117h,1
204.557,46.4103,Hoxd4,0,117h,1
205.314,46.1909,Hoxd4,0,117h,1
206.072,45.8473,Hoxd4,0,117h,1
206.829,45.9725,Hoxd4,0,117h,1
207.587,46.4896,Hoxd4,0,117h,1
208.345,46.9959,Hoxd4,0,117h,1
209.102,48.2287,Hoxd4,0,117h,1
209.86,49.5462,Hoxd4,0,117h,1
210.618,50.8062,Hoxd4,0,117h,1
211.375,51.9559,Hoxd4,0,117h,1
212.133,51.3576,Hoxd4,0,117h,1
212.89,50.3052,Hoxd4,0,117h,1
213.648,50.7867,Hoxd4,0,117h,1
214.406,51.9537,Hoxd4,0,117h,1
215.163,52.5373,Hoxd4,0,117h,1
215.921,51.0275,Hoxd4,0,117h,1
216.678,47.6721,Hoxd4,0,117h,1
217.436,46.3857,Hoxd4,0,117h,1
218.194,46.4919,Hoxd4,0,117h,1
218.951,47.0363,Hoxd4,0,117h,1
219.709,48.0895,Hoxd4,0,117h,1
220.467,49.7599,Hoxd4,0,117h,1
221.224,50.4713,Hoxd4,0,117h,1
221.982,50.2097,Hoxd4,0,117h,1
222.739,50.2107,Hoxd4,0,117h,1
223.497,50.5043,Hoxd4,0,117h,1
224.255,50.0727,Hoxd4,0,117h,1
225.012,48.7652,Hoxd4,0,117h,1
225.77,47.8407,Hoxd4,0,117h,1
226.527,47.5483,Hoxd4,0,117h,1
227.285,48.0983,Hoxd4,0,117h,1
228.043,49.7212,Hoxd4,0,117h,1
228.8,51.7387,Hoxd4,0,117h,1
229.558,52.4551,Hoxd4,0,117h,1
230.316,52.6376,Hoxd4,0,117h,1
231.073,52.4212,Hoxd4,0,117h,1
231.831,52.4907,Hoxd4,0,117h,1
232.588,52.3911,Hoxd4,0,117h,1
233.346,52.8387,Hoxd4,0,117h,1
234.104,54.3081,Hoxd4,0,117h,1
234.861,54.6149,Hoxd4,0,117h,1
235.619,53.318,Hoxd4,0,117h,1
236.377,50.2839,Hoxd4,0,117h,1
237.134,48.264,Hoxd4,0,117h,1
237.892,47.9403,Hoxd4,0,117h,1
238.649,48.3471,Hoxd4,0,117h,1
239.407,47.6447,Hoxd4,0,117h,1
240.165,46.7125,Hoxd4,0,117h,1
240.922,45.7034,Hoxd4,0,117h,1
241.68,45.2294,Hoxd4,0,117h,1
242.437,44.5531,Hoxd4,0,117h,1
243.195,43.5076,Hoxd4,0,117h,1
243.953,42.2391,Hoxd4,0,117h,1
244.71,41.2676,Hoxd4,0,117h,1
245.468,40.2635,Hoxd4,0,117h,1
246.226,39.9438,Hoxd4,0,117h,1
246.983,40.4499,Hoxd4,0,117h,1
247.741,40.2516,Hoxd4,0,117h,1
248.498,41.4027,Hoxd4,0,117h,1
249.256,43.1286,Hoxd4,0,117h,1
250.014,43.4291,Hoxd4,0,117h,1
250.771,42.3766,Hoxd4,0,117h,1
251.529,41.3046,Hoxd4,0,117h,1
252.286,41.3623,Hoxd4,0,117h,1
253.044,43.0237,Hoxd4,0,117h,1
253.802,43.9353,Hoxd4,0,117h,1
254.559,44.6505,Hoxd4,0,117h,1
255.317,46.3797,Hoxd4,0,117h,1
256.075,48.5288,Hoxd4,0,117h,1
