gene_id	gene_short_name	96h_Snai1KO_Clone1_rep1	96h_Snai1KO_Clone1_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303	Cdh1	8899.73672390048	9041.15336238901	2413.93538397151	2519.1514447528	5718.49422875345	1.86214582780424	0.0427889276911522	43.5193384897394	0	0
ENSMUSG00000000787	Ddx3x	45135.6326461405	45853.8180621185	17029.1227065835	16107.9000554742	31031.6183675792	1.45754776886932	0.028817380120999	50.5787744322815	0	0
ENSMUSG00000021765	Fst	8411.44354788785	8614.05109248781	1460.79351562224	1407.6781309425	4973.4915717351	2.57004810688003	0.0476392594807227	53.9481120171483	0	0
ENSMUSG00000024406	Pou5f1	6661.64030615124	6646.22423693838	1290.88561735129	1143.44462740553	3935.54869696161	2.45257080799093	0.0556238581866977	44.0920656700771	0	0
ENSMUSG00000026923	Notch1	2316.55367224599	2493.56706307216	7963.91471956609	7992.82839880509	5191.71596342233	-1.72960089639882	0.0458087695111703	-37.7569822297249	0	0
ENSMUSG00000018924	Alox15	3849.56713182054	3880.41646603081	723.144591421507	717.473890386857	2292.65051991493	2.42394673711053	0.0648647065075787	37.369270094937	1.23358525034918e-305	2.94950233358489e-302
ENSMUSG00000002265	Peg3	30957.5808927419	32994.3901344002	14400.7304022335	14611.8306457685	23241.133018786	1.14031313210703	0.0317513351237191	35.9138640206406	1.85612912984551e-282	3.80400407096624e-279
ENSMUSG00000056758	Hmga2	2436.30421858313	2449.17999114247	7451.08295344338	7092.92995437491	4857.37427938597	-1.57355492796082	0.0460176328510674	-34.1946082505702	2.90796742581909e-256	5.21471258635009e-253
ENSMUSG00000040669	Phc1	7589.70704026405	7274.54789958749	2823.16477309972	2843.56624446901	5132.74648935507	1.3910597457325	0.0440648980249364	31.568432200735	1.00164588551719e-218	1.59662354151439e-215
ENSMUSG00000006445	Epha2	5006.81163564753	4855.94566910769	1494.98230003042	1575.057360941	3233.19924143166	1.68292672228244	0.0541162842219456	31.0983421437492	2.53608221269622e-212	3.638263542334e-209
ENSMUSG00000037010	Apln	3481.02450214504	3453.3141961296	900.304656082077	910.242104710979	2186.22136476693	1.93712926308474	0.0635331339375147	30.4900631061254	3.52937173553385e-204	4.60294244708806e-201
ENSMUSG00000026600	Soat1	6622.41167890286	6636.36044317623	2668.79723137794	2669.6046852009	4649.29350966448	1.31247000890272	0.0439172519694656	29.8850668027963	3.07653048435685e-196	3.67799219404861e-193
ENSMUSG00000048528	Nkx1-2	20542.380358299	20814.5775968943	11591.033938143	11360.159986584	16077.0379699801	0.849735611203878	0.0286375946270139	29.6720315470322	1.76308660467857e-193	1.94563387928606e-190
ENSMUSG00000021678	F2rl1	3575.99907337795	3541.10196061276	1020.48341339568	1030.60469706946	2292.04728611396	1.7947157432268	0.0615546913735107	29.1564412586614	6.92223607166073e-187	7.09331419171749e-184
ENSMUSG00000006494	Pdk1	3779.36853569188	3923.81715858428	1174.85095511746	1135.92196538312	2503.48965369419	1.73768619378081	0.060158531218979	28.8851166837098	1.83634340234726e-183	1.75627883000492e-180
ENSMUSG00000078202	Nrarp	458.355539428351	484.31227372169	2631.50037565993	2403.49051615833	1494.41467624207	-2.41621792526901	0.0839081963647344	-28.7959702383082	2.40922899859498e-182	2.16017495086522e-179
ENSMUSG00000028496	Mllt3	1322.41767118855	1378.95836794892	4119.23050930074	4124.29945378342	2736.22650055541	-1.60929116632342	0.0568180228696776	-28.3236037623945	1.77000396683431e-176	1.49367511224735e-173
ENSMUSG00000066842	Hmcn1	792.831203335526	806.858329744077	3548.38141206112	3159.51804941001	2076.89724863768	-2.0673852939874	0.0734719897637217	-28.1384143894279	3.32157118887503e-174	2.6472922375334e-171
ENSMUSG00000051323	Pcdh19	277.697387626636	342.273643546693	5738.53566172454	5332.62704113219	2922.78343350752	-4.15748679657723	0.14785334712994	-28.118990048453	5.74028144572213e-174	4.3342146115963e-171
ENSMUSG00000045394	Epcam	2886.4010996434	2937.43778236903	781.161922538419	724.056219656461	1832.26425605183	1.95326094173224	0.0705721777986191	27.6774927834303	1.30314445873526e-168	9.34745520250799e-166
ENSMUSG00000029231	Pdgfra	87.748245160833	120.338283898261	1406.92027958511	1399.21513616729	753.555486202874	-3.74962193794354	0.137087277939883	-27.3520781380448	1.0201502667875e-164	6.96908367968261e-162
ENSMUSG00000051855	Mest	17063.420520746	16227.9134974934	8920.16465922519	8811.85822649441	12755.8392259897	0.908776410172422	0.033424524252675	27.1889108518782	8.78446435398522e-163	5.72826934646691e-160
ENSMUSG00000026494	Kif26b	249.824415634371	308.736744755374	3389.86977525956	3231.92367137566	1795.08865175624	-3.56610268389628	0.131348178620445	-27.1499972161868	2.53220456472156e-162	1.57943507328242e-159
ENSMUSG00000062393	Dgkk	3245.65273865481	3381.30850166589	997.690890456893	929.989092519792	2138.66030582435	1.78262849599414	0.0659231686302085	27.0410014117142	4.87350172798139e-161	2.91313565790088e-158
ENSMUSG00000031523	Dlc1	281.826716810675	282.104501597562	1822.365811333	2127.03268683495	1128.33242914405	-2.80876264549978	0.10436497857786	-26.9128847988442	1.5520447747281e-159	8.90625373529971e-157
ENSMUSG00000070327	Rnf213	1014.78264697763	1201.41008023018	9410.2039024091	9475.73314997163	5275.53244489714	-3.09080163892581	0.117229768281846	-26.3653309583864	3.42433138282408e-153	1.88944069299978e-150
ENSMUSG00000028645	Slc2a1	32936.5619041927	31427.0333055942	18547.9335533227	19112.2632006722	25505.9479909454	0.773017758501033	0.0295616517537629	26.1493425651575	1.00263658923804e-150	5.32734241081813e-148
ENSMUSG00000031665	Sall1	1589.79173585509	1614.70303886437	4233.19312399467	4379.12962979239	2954.20438212663	-1.42642689596508	0.0546721408305253	-26.0905622918035	4.66559285737539e-150	2.39044982613955e-147
ENSMUSG00000038587	Akap12	3554.32009516174	3543.07471936519	1220.43600099504	1199.86459257356	2379.42385202388	1.5523387854987	0.059606690426431	26.043029304146	1.61362093509597e-149	7.98241583961613e-147
ENSMUSG00000029844	Hoxa1	4627.94568301193	4628.09203320197	1841.014239192	1768.76590801793	3216.45446585596	1.3590028131391	0.0522323657552412	26.0184043645913	3.06616849232123e-149	1.46624177302801e-146
ENSMUSG00000048078	Tenm4	1726.05959892838	1662.0492489227	4496.34316156066	4403.5782813652	3072.00757269424	-1.39341267254442	0.053663457075235	-25.9657641994791	1.20694278298369e-148	5.58541973054324e-146
ENSMUSG00000101174	Hoxd4	198.207800833881	208.126048381418	1455.61339677252	1542.14571459298	851.0232401452	-2.88300573312549	0.111283354047406	-25.9068910872091	5.56950442093712e-148	2.49687845071137e-145
ENSMUSG00000050295	Foxc1	70.1985961286664	91.7332819880186	1384.12775664632	1188.58059953996	683.660058575741	-3.9859926385276	0.155021224333565	-25.7125606875016	8.45922180130064e-146	3.67745442307452e-143
ENSMUSG00000062300	Nectin2	3614.19536833031	3441.47764361502	1177.9590264273	1088.90532774309	2330.63434152893	1.6390066606413	0.0640311093675993	25.5970367658609	1.64595275100771e-144	6.94495240175195e-142
ENSMUSG00000023781	Hes7	1118.01587657861	1196.4781833491	3685.13654969384	3450.0808700254	2362.42786991174	-1.62346053000954	0.0643982269908883	-25.2097084946025	3.13498361598005e-140	1.28498499870999e-137
ENSMUSG00000087166	L1td1	1226.41076765964	1227.05594401178	135.719113862776	116.601261347274	676.446771720367	3.28504042867892	0.130750979310062	25.1244040083922	2.69198966160947e-139	1.07275788015138e-136
ENSMUSG00000001657	Hoxc8	153.81751210546	145.984147679858	1368.58740009715	1253.4635594832	730.463154841417	-3.1286555982897	0.125225355928784	-24.984202081797	9.0787387802842e-138	3.52009693356641e-135
ENSMUSG00000034324	Tmem132c	755.667240679173	709.206771498767	2570.37497323318	2578.39240817924	1653.41034839759	-1.81394334380833	0.0727386545116293	-24.9378182204116	2.89501577314722e-137	1.09294463898868e-134
ENSMUSG00000044338	Aplnr	1009.62098549758	1159.98214642914	3437.52686867702	3355.10726199253	2240.55931564907	-1.64558829521151	0.0684138561528568	-24.0534357767348	7.68457729312613e-128	2.82674220120994e-125
ENSMUSG00000032816	Igdcc4	1890.20043399394	1861.29788291818	443.418173536397	460.763048872293	1163.9198848302	2.05207083371182	0.0864376461331653	23.7404756551377	1.37811981001942e-124	4.94262669863466e-122
ENSMUSG00000032420	Nt5e	3236.36174799072	3378.34936353724	1204.89564444586	1170.71427723674	2247.58025830264	1.47790790425357	0.0622729748726102	23.7327332968575	1.65669133255282e-124	5.79680337970799e-122
ENSMUSG00000020875	Hoxb9	2945.24404051596	2988.72950993222	6093.89181481563	6132.8502137655	4540.17889475733	-1.04293220569458	0.044094381870505	-23.6522695511965	1.11852285391655e-123	3.82055449102066e-121
ENSMUSG00000022895	Ets2	1340.99965251673	1409.5361286116	3728.64954803153	3574.20479339507	2513.34753063873	-1.40817173319659	0.0598455072322663	-23.5301160992978	2.00637372213704e-122	6.69382265529721e-120
ENSMUSG00000031155	Pim2	6165.08847177052	5806.8153877792	429.949864527114	337.579458255415	3184.85829558306	3.96470170045154	0.170573165656596	23.2434081010927	1.65857795424735e-119	5.40771802991646e-117
