"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptbp2.3",5.13376531569022e-11,-0.542230562843672,0.182,0.586,1.69475860601565e-06,"Endothelial","Ptbp2"
"Gsta4.1",5.27308256921965e-11,-0.584824565434991,0.418,0.83,1.74075001775079e-06,"Endothelial","Gsta4"
"Hoxa7.10",5.33960466203997e-11,-0.795109753840295,0.1,0.447,1.76271029103264e-06,"Endothelial","Hoxa7"
"Kif15",5.67296133340678e-11,-0.505671047053891,0.109,0.479,1.87275799538424e-06,"Endothelial","Kif15"
"Cad.1",6.12552493719206e-11,-0.503946395026963,0.255,0.625,2.02215829226584e-06,"Endothelial","Cad"
"Luc7l3",6.30413211067688e-11,-0.59400126267024,0.645,0.928,2.08112009237665e-06,"Endothelial","Luc7l3"
"Peg3.4",6.54783267866694e-11,-1.02324252257672,0.636,0.907,2.16157052388153e-06,"Endothelial","Peg3"
"F2r.1",7.11716485357218e-11,0.892430546443792,0.609,0.366,2.34951846146125e-06,"Endothelial","F2r"
"Msh6.2",7.54349417337562e-11,-0.517538557074346,0.164,0.517,2.49025829651476e-06,"Endothelial","Msh6"
"Ptk7.4",7.68479697395793e-11,-0.519362765408492,0.127,0.508,2.53690517704299e-06,"Endothelial","Ptk7"
"Eprs.1",8.12149357183276e-11,-0.576648541412497,0.636,0.909,2.68106745793343e-06,"Endothelial","Eprs"
"Lhpp.9",8.22041821731535e-11,-0.576414963246229,0.091,0.428,2.71372446190014e-06,"Endothelial","Lhpp"
"Rab12",8.32977287274784e-11,0.663526363421042,0.518,0.308,2.74982462075152e-06,"Endothelial","Rab12"
"Hes7.17",8.66738797264931e-11,-0.870449308618376,0.018,0.337,2.86127811753099e-06,"Endothelial","Hes7"
"Hoxd4.9",9.09914297529332e-11,-0.657878256340078,0.145,0.477,3.00380907900383e-06,"Endothelial","Hoxd4"
"Tmem176a",9.94415067740851e-11,0.748187575014465,0.409,0.162,3.2827630216261e-06,"Endothelial","Tmem176a"
"Rrp1b",9.99815927714748e-11,-0.508154344961399,0.236,0.622,3.30059234057193e-06,"Endothelial","Rrp1b"
"Ppp1cb.1",1.0059643875116e-10,-0.597802521878765,0.336,0.731,3.32088963605329e-06,"Endothelial","Ppp1cb"
"Top2a",1.04544506249807e-10,-0.673153632394361,0.482,0.828,3.45122324031864e-06,"Endothelial","Top2a"
"Gm45889.14",1.06352409927834e-10,-1.18343110464136,0.045,0.391,3.51090575653767e-06,"Endothelial","Gm45889"
"Cse1l",1.06433005951612e-10,-0.523515288026002,0.264,0.678,3.51356639247462e-06,"Endothelial","Cse1l"
