 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
1,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_1_11,45.538,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_1_11,1.282,0.503,1,1,0.588,0.917,0,0,2.376,0.556,2,2
2,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_2_11,27.323,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_2_11,1.196,0.566,1,1,0.196,0.601,0,0,2.490,0.784,3,3
3,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_3_11,41.788,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_3_11,1.141,0.575,1,1,0.487,0.864,0,0,2.474,0.697,2,2
4,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_4_11,35.359,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_4_11,1.242,0.466,1,1,0.697,0.960,0,0,2.121,0.755,2,2
5,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_5_12,47.145,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_5_12,1.170,0.530,1,1,0.477,0.857,0,0,2.489,0.816,2,2
6,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_6_12,31.073,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_6_12,1.466,0.655,2,2,0.552,0.902,0,0,2.224,0.531,2,2
7,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_7_12,42.323,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_7_12,1.316,0.495,1,1,0.886,1.000,0,0,2.570,0.796,2,2
8,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_8_12,162.329,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_8_12,1.436,0.523,1,1,0.931,1.139,0,0,2.815,0.754,3,3
9,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_9_12,26.787,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_9_12,1.500,0.544,2,2,0.640,0.942,0,0,2.660,0.848,3,2
10,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif:ROI_10_12,33.216,2024-08-25_09-36,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 7.tif,ROI_10_12,1.387,0.523,1,1,0.806,0.989,0,0,2.710,0.637,3,3
