 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
4308,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4308_30,43.931,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4308_30,130.293,23.037,137,111,57.573,13.019,57,67,108.573,20.559,111,88
4309,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4309_30,71.789,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4309_30,134.843,36.743,128,127,50.030,8.185,49,49,99.440,10.354,100,94
4310,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4310_30,50.895,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4310_30,143.737,29.633,146,164,87.695,12.514,88,88,100.074,7.987,100,98
4311,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4311_30,86.790,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4311_30,143.019,28.016,145,145,65.056,13.993,65,57,99.938,13.812,97,89
4312,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4312_30,109.826,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4312_30,127.137,21.722,128,121,58.868,7.241,59,57,104.176,11.024,102,95
4313,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4313_30,65.360,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4313_30,151.336,28.921,151,138,42.156,6.543,41,41,95.074,12.394,95,84
4314,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4314_30,46.073,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4314_30,135.465,32.191,139,139,43.291,8.154,42,36,103.012,14.236,103,98
4315,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4315_30,45.538,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4315_30,148.729,29.178,145,176,45.918,6.858,46,41,90.965,12.022,88,84
4316,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4316_30,38.573,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4316_30,140.528,26.780,148,159,63.917,8.879,60,57,108.153,11.136,109,97
4317,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4317_30,26.787,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4317_30,158.760,28.446,165,148,43.560,6.563,41,41,81.920,8.983,83,76
4318,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4318_30,116.791,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4318_30,143.390,32.634,142,144,85.596,21.691,81,67,101.564,10.089,100,97
4319,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4319_30,62.146,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4319_30,122.922,24.968,123,110,71.509,7.731,72,78,103.121,10.282,103,95
4320,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4320_30,51.967,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4320_30,145.062,22.617,149,123,40.948,9.500,39,33,86.701,12.822,83,83
4321,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4321_30,77.682,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4321_30,156.110,37.906,154,143,51.931,7.348,52,54,95.752,11.680,92,92
4322,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4322_30,165.543,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4322_30,145.696,31.939,145,158,58.272,16.647,54,54,96.764,12.544,97,86
4323,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4323_30,39.645,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4323_30,131.324,36.626,125,125,52.297,9.452,51,44,101.041,10.733,101,107
4324,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4324_30,38.573,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4324_30,130.097,22.576,134,134,51.931,5.522,51,49,94.181,12.168,92,85
4325,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4325_30,55.181,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4325_30,134.078,23.505,136,136,63.398,10.834,62,59,103.534,9.686,101,97
4326,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4326_30,35.359,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4326_30,164.742,51.991,174,174,68.970,19.294,73,67,102.576,11.344,102,95
4327,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4327_30,53.574,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4327_30,143.520,33.108,141,137,58.620,12.107,59,59,93.780,9.681,93,92
4328,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4328_30,65.896,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4328_30,133.984,34.284,129,129,86.634,15.305,86,86,99.398,9.665,97,95
4329,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4329_30,60.003,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4329_30,148.009,27.097,152,156,67.214,7.266,67,67,98.696,12.880,96,91
4330,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4330_30,25.180,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4330_30,178.128,62.747,179,255,54.149,8.650,54,46,114.553,12.171,114,100
4331,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4331_30,37.502,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4331_30,125.986,25.697,128,138,66.871,7.844,67,67,124.486,13.784,126,128
4332,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4332_30,125.363,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4332_30,134.581,21.309,134,145,82.966,19.778,78,75,103.765,11.788,104,97
4333,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4333_30,48.752,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4333_30,139.066,24.713,144,148,60.780,9.032,59,57,102.308,14.610,97,97
4334,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4334_30,42.323,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4334_30,143.823,34.648,143,106,48.000,8.466,49,44,84.899,13.771,84,84
4335,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4335_30,68.039,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4335_30,121.039,22.221,125,127,50.732,8.435,49,49,95.496,11.745,92,92
4336,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4336_30,58.395,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4336_30,124.927,21.490,131,136,51.321,9.556,51,49,102.550,9.716,101,97
4337,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4337_30,32.144,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4337_30,173.617,37.257,183,184,35.800,6.752,36,33,86.683,8.842,86,76
4338,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4338_30,47.681,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4338_30,133.427,23.315,133,139,57.281,10.353,54,54,101.640,15.819,98,84
4339,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4339_30,40.716,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4339_30,132.408,34.118,128,118,92.618,16.923,94,78,123.816,9.195,122,121
4340,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4340_30,51.967,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4340_30,157.031,36.000,173,173,39.990,8.759,39,36,86.485,14.825,85,85
4341,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4341_30,79.289,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4341_30,145.703,31.547,147,121,50.966,18.764,49,41,92.480,10.774,91,84
4342,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif:ROI_4342_30,41.252,2024-08-25_09-35,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_72h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_16.lif - Position 2.tif,ROI_4342_30,151.584,25.640,153,178,85.506,16.845,83,110,109.636,7.204,110,117
